"","Date","Day","For Trading","For Settlement","Reason","Date","Month","Year","Equity URL","Derivative URL"
"1019","2003-10-16","Thu","Working Day","Working Day","-","16","OCT","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/OCT/cm16OCT2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/OCT/fo16OCT2003bhav.csv.zip"
"1020","2003-10-17","Fri","Working Day","Working Day","-","17","OCT","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/OCT/cm17OCT2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/OCT/fo17OCT2003bhav.csv.zip"
"1021","2003-10-18","Sat","Holiday","Holiday","Weekend","18","OCT","2003","",""
"1022","2003-10-19","Sun","Holiday","Holiday","Weekend","19","OCT","2003","",""
"1023","2003-10-20","Mon","Working Day","Working Day","-","20","OCT","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/OCT/cm20OCT2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/OCT/fo20OCT2003bhav.csv.zip"
"1024","2003-10-21","Tue","Working Day","Working Day","-","21","OCT","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/OCT/cm21OCT2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/OCT/fo21OCT2003bhav.csv.zip"
"1025","2003-10-22","Wed","Working Day","Working Day","-","22","OCT","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/OCT/cm22OCT2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/OCT/fo22OCT2003bhav.csv.zip"
"1026","2003-10-23","Thu","Working Day","Working Day","-","23","OCT","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/OCT/cm23OCT2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/OCT/fo23OCT2003bhav.csv.zip"
"1027","2003-10-24","Fri","Working Day","Working Day","-","24","OCT","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/OCT/cm24OCT2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/OCT/fo24OCT2003bhav.csv.zip"
"1028","2003-10-25","Sat","Holiday","Holiday","Weekend","25","OCT","2003","",""
"1029","2003-10-26","Sun","Holiday","Holiday","Weekend","26","OCT","2003","",""
"1030","2003-10-27","Mon","Working Day","Working Day","-","27","OCT","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/OCT/cm27OCT2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/OCT/fo27OCT2003bhav.csv.zip"
"1031","2003-10-28","Tue","Working Day","Working Day","-","28","OCT","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/OCT/cm28OCT2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/OCT/fo28OCT2003bhav.csv.zip"
"1032","2003-10-29","Wed","Working Day","Working Day","-","29","OCT","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/OCT/cm29OCT2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/OCT/fo29OCT2003bhav.csv.zip"
"1033","2003-10-30","Thu","Working Day","Working Day","-","30","OCT","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/OCT/cm30OCT2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/OCT/fo30OCT2003bhav.csv.zip"
"1034","2003-10-31","Fri","Working Day","Working Day","-","31","OCT","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/OCT/cm31OCT2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/OCT/fo31OCT2003bhav.csv.zip"
"1035","2003-11-01","Sat","Holiday","Holiday","Weekend","1","NOV","2003","",""
"1036","2003-11-02","Sun","Holiday","Holiday","Weekend","2","NOV","2003","",""
"1037","2003-11-03","Mon","Working Day","Working Day","-","3","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm3NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo3NOV2003bhav.csv.zip"
"1038","2003-11-04","Tue","Working Day","Working Day","-","4","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm4NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo4NOV2003bhav.csv.zip"
"1039","2003-11-05","Wed","Working Day","Working Day","-","5","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm5NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo5NOV2003bhav.csv.zip"
"1040","2003-11-06","Thu","Working Day","Working Day","-","6","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm6NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo6NOV2003bhav.csv.zip"
"1041","2003-11-07","Fri","Working Day","Working Day","-","7","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm7NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo7NOV2003bhav.csv.zip"
"1042","2003-11-08","Sat","Holiday","Holiday","Weekend","8","NOV","2003","",""
"1043","2003-11-09","Sun","Holiday","Holiday","Weekend","9","NOV","2003","",""
"1044","2003-11-10","Mon","Working Day","Working Day","-","10","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm10NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo10NOV2003bhav.csv.zip"
"1045","2003-11-11","Tue","Working Day","Working Day","-","11","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm11NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo11NOV2003bhav.csv.zip"
"1046","2003-11-12","Wed","Working Day","Working Day","-","12","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm12NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo12NOV2003bhav.csv.zip"
"1047","2003-11-13","Thu","Working Day","Working Day","-","13","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm13NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo13NOV2003bhav.csv.zip"
"1048","2003-11-14","Fri","Working Day","Working Day","-","14","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm14NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo14NOV2003bhav.csv.zip"
"1049","2003-11-15","Sat","Holiday","Holiday","Weekend","15","NOV","2003","",""
"1050","2003-11-16","Sun","Holiday","Holiday","Weekend","16","NOV","2003","",""
"1051","2003-11-17","Mon","Working Day","Working Day","-","17","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm17NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo17NOV2003bhav.csv.zip"
"1052","2003-11-18","Tue","Working Day","Working Day","-","18","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm18NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo18NOV2003bhav.csv.zip"
"1053","2003-11-19","Wed","Working Day","Working Day","-","19","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm19NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo19NOV2003bhav.csv.zip"
"1054","2003-11-20","Thu","Working Day","Working Day","-","20","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm20NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo20NOV2003bhav.csv.zip"
"1055","2003-11-21","Fri","Working Day","Working Day","-","21","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm21NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo21NOV2003bhav.csv.zip"
"1056","2003-11-22","Sat","Holiday","Holiday","Weekend","22","NOV","2003","",""
"1057","2003-11-23","Sun","Holiday","Holiday","Weekend","23","NOV","2003","",""
"1058","2003-11-24","Mon","Working Day","Working Day","-","24","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm24NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo24NOV2003bhav.csv.zip"
"1059","2003-11-25","Tue","Working Day","Working Day","-","25","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm25NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo25NOV2003bhav.csv.zip"
"1060","2003-11-26","Wed","Holiday","Holiday","Ramzan Id","26","NOV","2003","",""
"1061","2003-11-27","Thu","Working Day","Working Day","-","27","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm27NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo27NOV2003bhav.csv.zip"
"1062","2003-11-28","Fri","Working Day","Working Day","-","28","NOV","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/NOV/cm28NOV2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/NOV/fo28NOV2003bhav.csv.zip"
"1063","2003-11-29","Sat","Holiday","Holiday","Weekend","29","NOV","2003","",""
"1064","2003-11-30","Sun","Holiday","Holiday","Weekend","30","NOV","2003","",""
"1065","2003-12-01","Mon","Working Day","Working Day","-","1","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm1DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo1DEC2003bhav.csv.zip"
"1066","2003-12-02","Tue","Working Day","Working Day","-","2","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm2DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo2DEC2003bhav.csv.zip"
"1067","2003-12-03","Wed","Working Day","Working Day","-","3","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm3DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo3DEC2003bhav.csv.zip"
"1068","2003-12-04","Thu","Working Day","Working Day","-","4","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm4DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo4DEC2003bhav.csv.zip"
"1069","2003-12-05","Fri","Working Day","Working Day","-","5","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm5DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo5DEC2003bhav.csv.zip"
"1070","2003-12-06","Sat","Holiday","Holiday","Weekend","6","DEC","2003","",""
"1071","2003-12-07","Sun","Holiday","Holiday","Weekend","7","DEC","2003","",""
"1072","2003-12-08","Mon","Working Day","Working Day","-","8","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm8DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo8DEC2003bhav.csv.zip"
"1073","2003-12-09","Tue","Working Day","Working Day","-","9","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm9DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo9DEC2003bhav.csv.zip"
"1074","2003-12-10","Wed","Working Day","Working Day","-","10","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm10DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo10DEC2003bhav.csv.zip"
"1075","2003-12-11","Thu","Working Day","Working Day","-","11","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm11DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo11DEC2003bhav.csv.zip"
"1076","2003-12-12","Fri","Working Day","Working Day","-","12","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm12DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo12DEC2003bhav.csv.zip"
"1077","2003-12-13","Sat","Holiday","Holiday","Weekend","13","DEC","2003","",""
"1078","2003-12-14","Sun","Holiday","Holiday","Weekend","14","DEC","2003","",""
"1079","2003-12-15","Mon","Working Day","Working Day","-","15","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm15DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo15DEC2003bhav.csv.zip"
"1080","2003-12-16","Tue","Working Day","Working Day","-","16","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm16DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo16DEC2003bhav.csv.zip"
"1081","2003-12-17","Wed","Working Day","Working Day","-","17","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm17DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo17DEC2003bhav.csv.zip"
"1082","2003-12-18","Thu","Working Day","Working Day","-","18","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm18DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo18DEC2003bhav.csv.zip"
"1083","2003-12-19","Fri","Working Day","Working Day","-","19","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm19DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo19DEC2003bhav.csv.zip"
"1084","2003-12-20","Sat","Holiday","Holiday","Weekend","20","DEC","2003","",""
"1085","2003-12-21","Sun","Holiday","Holiday","Weekend","21","DEC","2003","",""
"1086","2003-12-22","Mon","Working Day","Working Day","-","22","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm22DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo22DEC2003bhav.csv.zip"
"1087","2003-12-23","Tue","Working Day","Working Day","-","23","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm23DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo23DEC2003bhav.csv.zip"
"1088","2003-12-24","Wed","Working Day","Working Day","-","24","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm24DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo24DEC2003bhav.csv.zip"
"1089","2003-12-25","Thu","Holiday","Holiday","Christmas","25","DEC","2003","",""
"1090","2003-12-26","Fri","Working Day","Working Day","-","26","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm26DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo26DEC2003bhav.csv.zip"
"1091","2003-12-27","Sat","Holiday","Holiday","Weekend","27","DEC","2003","",""
"1092","2003-12-28","Sun","Holiday","Holiday","Weekend","28","DEC","2003","",""
"1093","2003-12-29","Mon","Working Day","Working Day","-","29","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm29DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo29DEC2003bhav.csv.zip"
"1094","2003-12-30","Tue","Working Day","Working Day","-","30","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm30DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo30DEC2003bhav.csv.zip"
"1095","2003-12-31","Wed","Working Day","Working Day","-","31","DEC","2003","http://www.nseindia.com/content/historical/EQUITIES/2003/DEC/cm31DEC2003bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2003/DEC/fo31DEC2003bhav.csv.zip"
"1096","2004-01-01","Thu","Working Day","Working Day","-","1","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm1JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo1JAN2004bhav.csv.zip"
"1097","2004-01-02","Fri","Working Day","Working Day","-","2","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm2JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo2JAN2004bhav.csv.zip"
"1098","2004-01-03","Sat","Holiday","Holiday","Weekend","3","JAN","2004","",""
"1099","2004-01-04","Sun","Holiday","Holiday","Weekend","4","JAN","2004","",""
"1100","2004-01-05","Mon","Working Day","Working Day","-","5","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm5JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo5JAN2004bhav.csv.zip"
"1101","2004-01-06","Tue","Working Day","Working Day","-","6","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm6JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo6JAN2004bhav.csv.zip"
"1102","2004-01-07","Wed","Working Day","Working Day","-","7","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm7JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo7JAN2004bhav.csv.zip"
"1103","2004-01-08","Thu","Working Day","Working Day","-","8","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm8JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo8JAN2004bhav.csv.zip"
"1104","2004-01-09","Fri","Working Day","Working Day","-","9","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm9JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo9JAN2004bhav.csv.zip"
"1105","2004-01-10","Sat","Holiday","Holiday","Weekend","10","JAN","2004","",""
"1106","2004-01-11","Sun","Holiday","Holiday","Weekend","11","JAN","2004","",""
"1107","2004-01-12","Mon","Working Day","Working Day","-","12","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm12JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo12JAN2004bhav.csv.zip"
"1108","2004-01-13","Tue","Working Day","Working Day","-","13","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm13JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo13JAN2004bhav.csv.zip"
"1109","2004-01-14","Wed","Working Day","Working Day","-","14","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm14JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo14JAN2004bhav.csv.zip"
"1110","2004-01-15","Thu","Working Day","Working Day","-","15","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm15JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo15JAN2004bhav.csv.zip"
"1111","2004-01-16","Fri","Working Day","Working Day","-","16","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm16JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo16JAN2004bhav.csv.zip"
"1112","2004-01-17","Sat","Holiday","Holiday","Weekend","17","JAN","2004","",""
"1113","2004-01-18","Sun","Holiday","Holiday","Weekend","18","JAN","2004","",""
"1114","2004-01-19","Mon","Working Day","Working Day","-","19","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm19JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo19JAN2004bhav.csv.zip"
"1115","2004-01-20","Tue","Working Day","Working Day","-","20","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm20JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo20JAN2004bhav.csv.zip"
"1116","2004-01-21","Wed","Working Day","Working Day","-","21","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm21JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo21JAN2004bhav.csv.zip"
"1117","2004-01-22","Thu","Working Day","Working Day","-","22","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm22JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo22JAN2004bhav.csv.zip"
"1118","2004-01-23","Fri","Working Day","Working Day","-","23","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm23JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo23JAN2004bhav.csv.zip"
"1119","2004-01-24","Sat","Holiday","Holiday","Weekend","24","JAN","2004","",""
"1120","2004-01-25","Sun","Holiday","Holiday","Weekend","25","JAN","2004","",""
"1121","2004-01-26","Mon","Holiday","Holiday","Republic Day","26","JAN","2004","",""
"1122","2004-01-27","Tue","Working Day","Working Day","-","27","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm27JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo27JAN2004bhav.csv.zip"
"1123","2004-01-28","Wed","Working Day","Working Day","-","28","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm28JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo28JAN2004bhav.csv.zip"
"1124","2004-01-29","Thu","Working Day","Working Day","-","29","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm29JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo29JAN2004bhav.csv.zip"
"1125","2004-01-30","Fri","Working Day","Working Day","-","30","JAN","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/JAN/cm30JAN2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/JAN/fo30JAN2004bhav.csv.zip"
"1126","2004-01-31","Sat","Holiday","Holiday","Weekend","31","JAN","2004","",""
"1127","2004-02-01","Sun","Holiday","Holiday","Weekend","1","FEB","2004","",""
"1128","2004-02-02","Mon","Holiday","Holiday","Bakri Id","2","FEB","2004","",""
"1129","2004-02-03","Tue","Working Day","Working Day","-","3","FEB","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/FEB/cm3FEB2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/FEB/fo3FEB2004bhav.csv.zip"
"1130","2004-02-04","Wed","Working Day","Working Day","-","4","FEB","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/FEB/cm4FEB2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/FEB/fo4FEB2004bhav.csv.zip"
"1131","2004-02-05","Thu","Working Day","Working Day","-","5","FEB","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/FEB/cm5FEB2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/FEB/fo5FEB2004bhav.csv.zip"
"1132","2004-02-06","Fri","Working Day","Working Day","-","6","FEB","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/FEB/cm6FEB2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/FEB/fo6FEB2004bhav.csv.zip"
"1133","2004-02-07","Sat","Holiday","Holiday","Weekend","7","FEB","2004","",""
"1134","2004-02-08","Sun","Holiday","Holiday","Weekend","8","FEB","2004","",""
"1135","2004-02-09","Mon","Working Day","Working Day","-","9","FEB","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/FEB/cm9FEB2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/FEB/fo9FEB2004bhav.csv.zip"
"1136","2004-02-10","Tue","Working Day","Working Day","-","10","FEB","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/FEB/cm10FEB2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/FEB/fo10FEB2004bhav.csv.zip"
"1137","2004-02-11","Wed","Working Day","Working Day","-","11","FEB","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/FEB/cm11FEB2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/FEB/fo11FEB2004bhav.csv.zip"
"1138","2004-02-12","Thu","Working Day","Working Day","-","12","FEB","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/FEB/cm12FEB2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/FEB/fo12FEB2004bhav.csv.zip"
"1139","2004-02-13","Fri","Working Day","Working Day","-","13","FEB","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/FEB/cm13FEB2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/FEB/fo13FEB2004bhav.csv.zip"
"1140","2004-02-14","Sat","Holiday","Holiday","Weekend","14","FEB","2004","",""
"1141","2004-02-15","Sun","Holiday","Holiday","Weekend","15","FEB","2004","",""
"1142","2004-02-16","Mon","Working Day","Working Day","-","16","FEB","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/FEB/cm16FEB2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/FEB/fo16FEB2004bhav.csv.zip"
"1143","2004-02-17","Tue","Working Day","Working Day","-","17","FEB","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/FEB/cm17FEB2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/FEB/fo17FEB2004bhav.csv.zip"
"1144","2004-02-18","Wed","Working Day","Working Day","-","18","FEB","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/FEB/cm18FEB2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/FEB/fo18FEB2004bhav.csv.zip"
"1145","2004-02-19","Thu","Working Day","Working Day","-","19","FEB","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/FEB/cm19FEB2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/FEB/fo19FEB2004bhav.csv.zip"
"1146","2004-02-20","Fri","Working Day","Working Day","-","20","FEB","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/FEB/cm20FEB2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/FEB/fo20FEB2004bhav.csv.zip"
"1147","2004-02-21","Sat","Holiday","Holiday","Weekend","21","FEB","2004","",""
"1148","2004-02-22","Sun","Holiday","Holiday","Weekend","22","FEB","2004","",""
"1149","2004-02-23","Mon","Working Day","Working Day","-","23","FEB","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/FEB/cm23FEB2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/FEB/fo23FEB2004bhav.csv.zip"
"1150","2004-02-24","Tue","Working Day","Working Day","-","24","FEB","2004","http://www.nseindia.com/content/historical/EQUITIES/2004/FEB/cm24FEB2004bhav.csv.zip","http://www.nseindia.com/content/historical/DERIVATIVES/2004/FEB/fo24FEB2004bhav.csv.zip"
