"Symbol","Series","Record.Date","Bc.Start.Date","Bc.End.Date","Ex.Date","No.Delivery.Start.Date","No.Delivery.End.Date","Purpose","X"
"SCI","EQ","31/10/2008","-","-","29/10/2008","-","-","BONUS 1:2",""
"SIEMENS","EQ","03/03/2008","-","-","29/02/2008","-","-","BONUS 1:1",""
"SREINFRA","EQ","11/02/2011","-","-","10/02/2011","-","-","BONUS 4:5 (PURSUANT TO SCHEME OF AMALGAMATION)",""
"STER","EQ","22/06/2010","-","-","21/06/2010","-","-","BONUS 1:1 AND FACE VALUE SPLIT FROM RS.2/- TO RE.1/-",""
"TCS","EQ","17/06/2009","-","-","16/06/2009","-","-","BONUS 1:1/DIV-RS.5 PER SH",""
"TCS","EQ","31/07/2006","-","-","28/07/2006","-","-","INTDIV-RS 3PERSH/BONUS1:1",""
"TITAN","EQ","24/06/2011","-","-","23/06/2011","-","-","BONUS 1:1 / FACE VALUE SPLIT FROM RS.10/- TO RE.1/-",""
"TV-18","EQ","18/10/2007","-","-","17/10/2007","-","-","BONUS 1:1",""
"TVSMOTOR","EQ","09/09/2010","-","-","08/09/2010","-","-","BONUS 1:1",""
"UNIPHOS","EQ","31/10/2008","-","-","29/10/2008","-","-","BONUS 1:1",""
"UNITECH","EQ","31/08/2007","-","-","30/08/2007","-","-","BONUS 1:1",""
"WIPRO","EQ","16/06/2010","-","-","15/06/2010","-","-","BONUS 2:3 AND FINAL DIVIDEND RS.6/- PER SHARE",""
"ZEEL","EQ","12/11/2010","-","-","11/11/2010","-","-","BONUS 1:1",""
