"Date","Day","For Trading","For Settlement","Reason","Date","Month","Year","URL"
"2004-04-02","Fri","Working Day","Working Day",,2,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm2APR2004bhav.csv.zip"
"2004-04-03","Sat","Holiday","Holiday","Weekend",3,"APR",2004,"NA"
"2004-04-04","Sun","Holiday","Holiday","Weekend",4,"APR",2004,"NA"
"2004-04-05","Mon","Working Day","Working Day",,5,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm5APR2004bhav.csv.zip"
"2004-04-06","Tue","Working Day","Working Day",,6,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm6APR2004bhav.csv.zip"
"2004-04-07","Wed","Working Day","Working Day",,7,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm7APR2004bhav.csv.zip"
"2004-04-08","Thu","Working Day","Working Day",,8,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm8APR2004bhav.csv.zip"
"2004-04-09","Fri","Holiday","Holiday","Good Friday",9,"APR",2004,"NA"
"2004-04-10","Sat","Holiday","Holiday","Weekend",10,"APR",2004,"NA"
"2004-04-11","Sun","Holiday","Holiday","Weekend",11,"APR",2004,"NA"
"2004-04-12","Mon","Working Day","Working Day",,12,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm12APR2004bhav.csv.zip"
"2004-04-13","Tue","Working Day","Working Day",,13,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm13APR2004bhav.csv.zip"
"2004-04-14","Wed","Holiday","Holiday","Ambedkar Jayanti",14,"APR",2004,"NA"
"2004-04-15","Thu","Working Day","Working Day",,15,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm15APR2004bhav.csv.zip"
"2004-04-16","Fri","Working Day","Working Day",,16,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm16APR2004bhav.csv.zip"
"2004-04-17","Sat","Holiday","Holiday","Weekend",17,"APR",2004,"NA"
"2004-04-18","Sun","Holiday","Holiday","Weekend",18,"APR",2004,"NA"
"2004-04-19","Mon","Working Day","Working Day",,19,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm19APR2004bhav.csv.zip"
"2004-04-20","Tue","Working Day","Working Day",,20,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm20APR2004bhav.csv.zip"
"2004-04-21","Wed","Working Day","Working Day",,21,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm21APR2004bhav.csv.zip"
"2004-04-22","Thu","Working Day","Working Day",,22,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm22APR2004bhav.csv.zip"
"2004-04-23","Fri","Working Day","Working Day",,23,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm23APR2004bhav.csv.zip"
"2004-04-24","Sat","Holiday","Holiday","Weekend",24,"APR",2004,"NA"
"2004-04-25","Sun","Holiday","Holiday","Weekend",25,"APR",2004,"NA"
"2004-04-26","Mon","Working Day","Working Day",,26,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm26APR2004bhav.csv.zip"
"2004-04-27","Tue","Working Day","Working Day",,27,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm27APR2004bhav.csv.zip"
"2004-04-28","Wed","Working Day","Working Day",,28,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm28APR2004bhav.csv.zip"
"2004-04-29","Thu","Working Day","Working Day",,29,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm29APR2004bhav.csv.zip"
"2004-04-30","Fri","Working Day","Working Day",,30,"APR",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/APR/cm30APR2004bhav.csv.zip"
"2004-05-01","Sat","Holiday","Holiday","Weekend",1,"MAY",2004,"NA"
"2004-05-02","Sun","Holiday","Holiday","Weekend",2,"MAY",2004,"NA"
"2004-05-03","Mon","Working Day","Working Day",,3,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm3MAY2004bhav.csv.zip"
"2004-05-04","Tue","Working Day","Working Day",,4,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm4MAY2004bhav.csv.zip"
"2004-05-05","Wed","Working Day","Working Day",,5,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm5MAY2004bhav.csv.zip"
"2004-05-06","Thu","Working Day","Working Day",,6,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm6MAY2004bhav.csv.zip"
"2004-05-07","Fri","Working Day","Working Day",,7,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm7MAY2004bhav.csv.zip"
"2004-05-08","Sat","Holiday","Holiday","Weekend",8,"MAY",2004,"NA"
"2004-05-09","Sun","Holiday","Holiday","Weekend",9,"MAY",2004,"NA"
"2004-05-10","Mon","Working Day","Working Day",,10,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm10MAY2004bhav.csv.zip"
"2004-05-11","Tue","Working Day","Working Day",,11,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm11MAY2004bhav.csv.zip"
"2004-05-12","Wed","Working Day","Working Day",,12,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm12MAY2004bhav.csv.zip"
"2004-05-13","Thu","Working Day","Working Day",,13,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm13MAY2004bhav.csv.zip"
"2004-05-14","Fri","Working Day","Working Day",,14,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm14MAY2004bhav.csv.zip"
"2004-05-15","Sat","Holiday","Holiday","Weekend",15,"MAY",2004,"NA"
"2004-05-16","Sun","Holiday","Holiday","Weekend",16,"MAY",2004,"NA"
"2004-05-17","Mon","Working Day","Working Day",,17,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm17MAY2004bhav.csv.zip"
"2004-05-18","Tue","Working Day","Working Day",,18,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm18MAY2004bhav.csv.zip"
"2004-05-19","Wed","Working Day","Working Day",,19,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm19MAY2004bhav.csv.zip"
"2004-05-20","Thu","Working Day","Working Day",,20,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm20MAY2004bhav.csv.zip"
"2004-05-21","Fri","Working Day","Working Day",,21,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm21MAY2004bhav.csv.zip"
"2004-05-22","Sat","Holiday","Holiday","Weekend",22,"MAY",2004,"NA"
"2004-05-23","Sun","Holiday","Holiday","Weekend",23,"MAY",2004,"NA"
"2004-05-24","Mon","Working Day","Working Day",,24,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm24MAY2004bhav.csv.zip"
"2004-05-25","Tue","Working Day","Working Day",,25,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm25MAY2004bhav.csv.zip"
"2004-05-26","Wed","Working Day","Working Day",,26,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm26MAY2004bhav.csv.zip"
"2004-05-27","Thu","Working Day","Working Day",,27,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm27MAY2004bhav.csv.zip"
"2004-05-28","Fri","Working Day","Working Day",,28,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm28MAY2004bhav.csv.zip"
"2004-05-29","Sat","Holiday","Holiday","Weekend",29,"MAY",2004,"NA"
"2004-05-30","Sun","Holiday","Holiday","Weekend",30,"MAY",2004,"NA"
"2004-05-31","Mon","Working Day","Working Day",,31,"MAY",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/MAY/cm31MAY2004bhav.csv.zip"
"2004-06-01","Tue","Working Day","Working Day",,1,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm1JUN2004bhav.csv.zip"
"2004-06-02","Wed","Working Day","Working Day",,2,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm2JUN2004bhav.csv.zip"
"2004-06-03","Thu","Working Day","Working Day",,3,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm3JUN2004bhav.csv.zip"
"2004-06-04","Fri","Working Day","Working Day",,4,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm4JUN2004bhav.csv.zip"
"2004-06-05","Sat","Holiday","Holiday","Weekend",5,"JUN",2004,"NA"
"2004-06-06","Sun","Holiday","Holiday","Weekend",6,"JUN",2004,"NA"
"2004-06-07","Mon","Working Day","Working Day",,7,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm7JUN2004bhav.csv.zip"
"2004-06-08","Tue","Working Day","Working Day",,8,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm8JUN2004bhav.csv.zip"
"2004-06-09","Wed","Working Day","Working Day",,9,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm9JUN2004bhav.csv.zip"
"2004-06-10","Thu","Working Day","Working Day",,10,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm10JUN2004bhav.csv.zip"
"2004-06-11","Fri","Working Day","Working Day",,11,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm11JUN2004bhav.csv.zip"
"2004-06-12","Sat","Holiday","Holiday","Weekend",12,"JUN",2004,"NA"
"2004-06-13","Sun","Holiday","Holiday","Weekend",13,"JUN",2004,"NA"
"2004-06-14","Mon","Working Day","Working Day",,14,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm14JUN2004bhav.csv.zip"
"2004-06-15","Tue","Working Day","Working Day",,15,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm15JUN2004bhav.csv.zip"
"2004-06-16","Wed","Working Day","Working Day",,16,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm16JUN2004bhav.csv.zip"
"2004-06-17","Thu","Working Day","Working Day",,17,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm17JUN2004bhav.csv.zip"
"2004-06-18","Fri","Working Day","Working Day",,18,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm18JUN2004bhav.csv.zip"
"2004-06-19","Sat","Holiday","Holiday","Weekend",19,"JUN",2004,"NA"
"2004-06-20","Sun","Holiday","Holiday","Weekend",20,"JUN",2004,"NA"
"2004-06-21","Mon","Working Day","Working Day",,21,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm21JUN2004bhav.csv.zip"
"2004-06-22","Tue","Working Day","Working Day",,22,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm22JUN2004bhav.csv.zip"
"2004-06-23","Wed","Working Day","Working Day",,23,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm23JUN2004bhav.csv.zip"
"2004-06-24","Thu","Working Day","Working Day",,24,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm24JUN2004bhav.csv.zip"
"2004-06-25","Fri","Working Day","Working Day",,25,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm25JUN2004bhav.csv.zip"
"2004-06-26","Sat","Holiday","Holiday","Weekend",26,"JUN",2004,"NA"
"2004-06-27","Sun","Holiday","Holiday","Weekend",27,"JUN",2004,"NA"
"2004-06-28","Mon","Working Day","Working Day",,28,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm28JUN2004bhav.csv.zip"
"2004-06-29","Tue","Working Day","Working Day",,29,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm29JUN2004bhav.csv.zip"
"2004-06-30","Wed","Working Day","Working Day",,30,"JUN",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUN/cm30JUN2004bhav.csv.zip"
"2004-07-01","Thu","Working Day","Working Day",,1,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm1JUL2004bhav.csv.zip"
"2004-07-02","Fri","Working Day","Working Day",,2,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm2JUL2004bhav.csv.zip"
"2004-07-03","Sat","Holiday","Holiday","Weekend",3,"JUL",2004,"NA"
"2004-07-04","Sun","Holiday","Holiday","Weekend",4,"JUL",2004,"NA"
"2004-07-05","Mon","Working Day","Working Day",,5,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm5JUL2004bhav.csv.zip"
"2004-07-06","Tue","Working Day","Working Day",,6,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm6JUL2004bhav.csv.zip"
"2004-07-07","Wed","Working Day","Working Day",,7,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm7JUL2004bhav.csv.zip"
"2004-07-08","Thu","Working Day","Working Day",,8,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm8JUL2004bhav.csv.zip"
"2004-07-09","Fri","Working Day","Working Day",,9,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm9JUL2004bhav.csv.zip"
"2004-07-10","Sat","Holiday","Holiday","Weekend",10,"JUL",2004,"NA"
"2004-07-11","Sun","Holiday","Holiday","Weekend",11,"JUL",2004,"NA"
"2004-07-12","Mon","Working Day","Working Day",,12,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm12JUL2004bhav.csv.zip"
"2004-07-13","Tue","Working Day","Working Day",,13,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm13JUL2004bhav.csv.zip"
"2004-07-14","Wed","Working Day","Working Day",,14,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm14JUL2004bhav.csv.zip"
"2004-07-15","Thu","Working Day","Working Day",,15,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm15JUL2004bhav.csv.zip"
"2004-07-16","Fri","Working Day","Working Day",,16,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm16JUL2004bhav.csv.zip"
"2004-07-17","Sat","Holiday","Holiday","Weekend",17,"JUL",2004,"NA"
"2004-07-18","Sun","Holiday","Holiday","Weekend",18,"JUL",2004,"NA"
"2004-07-19","Mon","Working Day","Working Day",,19,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm19JUL2004bhav.csv.zip"
"2004-07-20","Tue","Working Day","Working Day",,20,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm20JUL2004bhav.csv.zip"
"2004-07-21","Wed","Working Day","Working Day",,21,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm21JUL2004bhav.csv.zip"
"2004-07-22","Thu","Working Day","Working Day",,22,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm22JUL2004bhav.csv.zip"
"2004-07-23","Fri","Working Day","Working Day",,23,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm23JUL2004bhav.csv.zip"
"2004-07-24","Sat","Holiday","Holiday","Weekend",24,"JUL",2004,"NA"
"2004-07-25","Sun","Holiday","Holiday","Weekend",25,"JUL",2004,"NA"
"2004-07-26","Mon","Working Day","Working Day",,26,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm26JUL2004bhav.csv.zip"
"2004-07-27","Tue","Working Day","Working Day",,27,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm27JUL2004bhav.csv.zip"
"2004-07-28","Wed","Working Day","Working Day",,28,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm28JUL2004bhav.csv.zip"
"2004-07-29","Thu","Working Day","Working Day",,29,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm29JUL2004bhav.csv.zip"
"2004-07-30","Fri","Working Day","Working Day",,30,"JUL",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/JUL/cm30JUL2004bhav.csv.zip"
"2004-07-31","Sat","Holiday","Holiday","Weekend",31,"JUL",2004,"NA"
"2004-08-01","Sun","Holiday","Holiday","Weekend",1,"AUG",2004,"NA"
"2004-08-02","Mon","Working Day","Working Day",,2,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm2AUG2004bhav.csv.zip"
"2004-08-03","Tue","Working Day","Working Day",,3,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm3AUG2004bhav.csv.zip"
"2004-08-04","Wed","Working Day","Working Day",,4,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm4AUG2004bhav.csv.zip"
"2004-08-05","Thu","Working Day","Working Day",,5,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm5AUG2004bhav.csv.zip"
"2004-08-06","Fri","Working Day","Working Day",,6,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm6AUG2004bhav.csv.zip"
"2004-08-07","Sat","Holiday","Holiday","Weekend",7,"AUG",2004,"NA"
"2004-08-08","Sun","Holiday","Holiday","Weekend",8,"AUG",2004,"NA"
"2004-08-09","Mon","Working Day","Working Day",,9,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm9AUG2004bhav.csv.zip"
"2004-08-10","Tue","Working Day","Working Day",,10,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm10AUG2004bhav.csv.zip"
"2004-08-11","Wed","Working Day","Working Day",,11,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm11AUG2004bhav.csv.zip"
"2004-08-12","Thu","Working Day","Working Day",,12,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm12AUG2004bhav.csv.zip"
"2004-08-13","Fri","Working Day","Working Day",,13,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm13AUG2004bhav.csv.zip"
"2004-08-14","Sat","Holiday","Holiday","Weekend",14,"AUG",2004,"NA"
"2004-08-15","Sun","Holiday","Holiday","Weekend",15,"AUG",2004,"NA"
"2004-08-16","Mon","Working Day","Working Day",,16,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm16AUG2004bhav.csv.zip"
"2004-08-17","Tue","Working Day","Working Day",,17,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm17AUG2004bhav.csv.zip"
"2004-08-18","Wed","Working Day","Working Day",,18,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm18AUG2004bhav.csv.zip"
"2004-08-19","Thu","Working Day","Working Day",,19,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm19AUG2004bhav.csv.zip"
"2004-08-20","Fri","Working Day","Working Day",,20,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm20AUG2004bhav.csv.zip"
"2004-08-21","Sat","Holiday","Holiday","Weekend",21,"AUG",2004,"NA"
"2004-08-22","Sun","Holiday","Holiday","Weekend",22,"AUG",2004,"NA"
"2004-08-23","Mon","Working Day","Working Day",,23,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm23AUG2004bhav.csv.zip"
"2004-08-24","Tue","Working Day","Working Day",,24,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm24AUG2004bhav.csv.zip"
"2004-08-25","Wed","Working Day","Working Day",,25,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm25AUG2004bhav.csv.zip"
"2004-08-26","Thu","Working Day","Working Day",,26,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm26AUG2004bhav.csv.zip"
"2004-08-27","Fri","Working Day","Working Day",,27,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm27AUG2004bhav.csv.zip"
"2004-08-28","Sat","Holiday","Holiday","Weekend",28,"AUG",2004,"NA"
"2004-08-29","Sun","Holiday","Holiday","Weekend",29,"AUG",2004,"NA"
"2004-08-30","Mon","Working Day","Working Day",,30,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm30AUG2004bhav.csv.zip"
"2004-08-31","Tue","Working Day","Working Day",,31,"AUG",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/AUG/cm31AUG2004bhav.csv.zip"
"2004-09-01","Wed","Working Day","Working Day",,1,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm1SEP2004bhav.csv.zip"
"2004-09-02","Thu","Working Day","Working Day",,2,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm2SEP2004bhav.csv.zip"
"2004-09-03","Fri","Working Day","Working Day",,3,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm3SEP2004bhav.csv.zip"
"2004-09-04","Sat","Holiday","Holiday","Weekend",4,"SEP",2004,"NA"
"2004-09-05","Sun","Holiday","Holiday","Weekend",5,"SEP",2004,"NA"
"2004-09-06","Mon","Working Day","Working Day",,6,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm6SEP2004bhav.csv.zip"
"2004-09-07","Tue","Working Day","Working Day",,7,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm7SEP2004bhav.csv.zip"
"2004-09-08","Wed","Working Day","Working Day",,8,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm8SEP2004bhav.csv.zip"
"2004-09-09","Thu","Working Day","Working Day",,9,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm9SEP2004bhav.csv.zip"
"2004-09-10","Fri","Working Day","Working Day",,10,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm10SEP2004bhav.csv.zip"
"2004-09-11","Sat","Holiday","Holiday","Weekend",11,"SEP",2004,"NA"
"2004-09-12","Sun","Holiday","Holiday","Weekend",12,"SEP",2004,"NA"
"2004-09-13","Mon","Working Day","Working Day",,13,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm13SEP2004bhav.csv.zip"
"2004-09-14","Tue","Working Day","Working Day",,14,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm14SEP2004bhav.csv.zip"
"2004-09-15","Wed","Working Day","Working Day",,15,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm15SEP2004bhav.csv.zip"
"2004-09-16","Thu","Working Day","Working Day",,16,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm16SEP2004bhav.csv.zip"
"2004-09-17","Fri","Working Day","Working Day",,17,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm17SEP2004bhav.csv.zip"
"2004-09-18","Sat","Holiday","Holiday","Weekend",18,"SEP",2004,"NA"
"2004-09-19","Sun","Holiday","Holiday","Weekend",19,"SEP",2004,"NA"
"2004-09-20","Mon","Working Day","Working Day",,20,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm20SEP2004bhav.csv.zip"
"2004-09-21","Tue","Working Day","Working Day",,21,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm21SEP2004bhav.csv.zip"
"2004-09-22","Wed","Working Day","Working Day",,22,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm22SEP2004bhav.csv.zip"
"2004-09-23","Thu","Working Day","Working Day",,23,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm23SEP2004bhav.csv.zip"
"2004-09-24","Fri","Working Day","Working Day",,24,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm24SEP2004bhav.csv.zip"
"2004-09-25","Sat","Holiday","Holiday","Weekend",25,"SEP",2004,"NA"
"2004-09-26","Sun","Holiday","Holiday","Weekend",26,"SEP",2004,"NA"
"2004-09-27","Mon","Working Day","Working Day",,27,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm27SEP2004bhav.csv.zip"
"2004-09-28","Tue","Working Day","Working Day",,28,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm28SEP2004bhav.csv.zip"
"2004-09-29","Wed","Working Day","Working Day",,29,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm29SEP2004bhav.csv.zip"
"2004-09-30","Thu","Working Day","Working Day",,30,"SEP",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/SEP/cm30SEP2004bhav.csv.zip"
"2004-10-01","Fri","Working Day","Working Day",,1,"OCT",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/OCT/cm1OCT2004bhav.csv.zip"
"2004-10-02","Sat","Holiday","Holiday","Weekend",2,"OCT",2004,"NA"
"2004-10-03","Sun","Holiday","Holiday","Weekend",3,"OCT",2004,"NA"
"2004-10-04","Mon","Working Day","Working Day",,4,"OCT",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/OCT/cm4OCT2004bhav.csv.zip"
"2004-10-05","Tue","Working Day","Working Day",,5,"OCT",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/OCT/cm5OCT2004bhav.csv.zip"
"2004-10-06","Wed","Working Day","Working Day",,6,"OCT",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/OCT/cm6OCT2004bhav.csv.zip"
"2004-10-07","Thu","Working Day","Working Day",,7,"OCT",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/OCT/cm7OCT2004bhav.csv.zip"
"2004-10-08","Fri","Working Day","Working Day",,8,"OCT",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/OCT/cm8OCT2004bhav.csv.zip"
"2004-10-09","Sat","Holiday","Holiday","Weekend",9,"OCT",2004,"NA"
"2004-10-10","Sun","Holiday","Holiday","Weekend",10,"OCT",2004,"NA"
"2004-10-11","Mon","Working Day","Working Day",,11,"OCT",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/OCT/cm11OCT2004bhav.csv.zip"
"2004-10-12","Tue","Working Day","Working Day",,12,"OCT",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/OCT/cm12OCT2004bhav.csv.zip"
"2004-10-13","Wed","Working Day","Working Day",,13,"OCT",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/OCT/cm13OCT2004bhav.csv.zip"
"2004-10-14","Thu","Working Day","Working Day",,14,"OCT",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/OCT/cm14OCT2004bhav.csv.zip"
"2004-10-15","Fri","Working Day","Working Day",,15,"OCT",2004,"http://www.nseindia.com/content/historical/EQUITIES/2004/OCT/cm15OCT2004bhav.csv.zip"
"2004-10-16","Sat","Holiday","Holiday","Weekend",16,"OCT",2004,"NA"
