INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,ANDHRABANK,24-Feb-2011,0,XX,137,142.7,134.6,140.1,140.1,1755,4878.35,2588000,-134000,31-JAN-2011,
FUTSTK,ANDHRABANK,31-Mar-2011,0,XX,137.8,143,136.2,141.35,141.35,28,78.59,64000,12000,31-JAN-2011,
FUTSTK,ANDHRABANK,28-Apr-2011,0,XX,0,0,0,134.25,142.8,0,0,0,0,31-JAN-2011,
FUTSTK,APIL,24-Feb-2011,0,XX,551.5,589,545,582.9,582.9,310,881.6,328500,-13500,31-JAN-2011,
FUTSTK,APIL,31-Mar-2011,0,XX,0,0,0,571.2,589.45,0,0,2000,0,31-JAN-2011,
FUTSTK,APIL,28-Apr-2011,0,XX,0,0,0,601.6,593.7,0,0,0,0,31-JAN-2011,
FUTSTK,APOLLOTYRE,24-Feb-2011,0,XX,50.1,52,48,51.6,51.6,1268,2550.38,18196000,-28000,31-JAN-2011,
FUTSTK,APOLLOTYRE,31-Mar-2011,0,XX,49.8,51.95,49.05,51.75,51.75,38,76.61,192000,40000,31-JAN-2011,
FUTSTK,APOLLOTYRE,28-Apr-2011,0,XX,0,0,0,55,52.35,0,0,0,0,31-JAN-2011,
FUTSTK,AREVAT&D,24-Feb-2011,0,XX,309.95,316.6,307.1,315.4,315.4,165,515.47,960000,15000,31-JAN-2011,
FUTSTK,AREVAT&D,31-Mar-2011,0,XX,0,0,0,312,319.15,1,3.13,2000,1000,31-JAN-2011,
FUTSTK,AREVAT&D,28-Apr-2011,0,XX,0,0,0,322.6,321.4,0,0,0,0,31-JAN-2011,
FUTSTK,ASHOKLEY,24-Feb-2011,0,XX,55.4,59.6,54,59.2,59.2,2340,5356.89,11192000,-668000,31-JAN-2011,
FUTSTK,ASHOKLEY,31-Mar-2011,0,XX,54.95,59.75,54.6,59.6,59.6,38,87.42,208000,32000,31-JAN-2011,
FUTSTK,ASHOKLEY,28-Apr-2011,0,XX,0,0,0,54,60.3,0,0,4000,0,31-JAN-2011,
FUTSTK,ASIANPAINT,24-Feb-2011,0,XX,2537.1,2610,2500,2592.75,2592.75,121,388.19,66625,-625,31-JAN-2011,
FUTSTK,ASIANPAINT,31-Mar-2011,0,XX,2525,2525,2525,2525,2616.55,2,6.31,250,250,31-JAN-2011,
FUTSTK,ASIANPAINT,28-Apr-2011,0,XX,0,0,0,2660.45,2635.3,0,0,0,0,31-JAN-2011,
FUTSTK,AUROPHARMA,24-Feb-2011,0,XX,1180,1247.15,1177,1197.15,1197.15,787,2362.3,735000,39250,31-JAN-2011,
FUTSTK,AUROPHARMA,31-Mar-2011,0,XX,1208.35,1208.35,1208.35,1208.35,1204.75,1,3.02,1000,0,31-JAN-2011,
FUTSTK,AUROPHARMA,28-Apr-2011,0,XX,0,0,0,1265.4,1213.35,0,0,0,0,31-JAN-2011,
FUTSTK,AXISBANK,24-Feb-2011,0,XX,1250,1269.75,1234.15,1251,1251,8824,27620.27,2073250,111250,31-JAN-2011,
FUTSTK,AXISBANK,31-Mar-2011,0,XX,1253.9,1273.05,1240,1253,1253,63,197.81,21500,5500,31-JAN-2011,
FUTSTK,AXISBANK,28-Apr-2011,0,XX,0,0,0,1329.15,1270.05,0,0,0,0,31-JAN-2011,
FUTSTK,BAJAJ-AUTO,24-Feb-2011,0,XX,1240.15,1265.95,1221,1252.15,1252.15,2075,6455.67,1502750,-4500,31-JAN-2011,
FUTSTK,BAJAJ-AUTO,31-Mar-2011,0,XX,1270,1270,1230,1256.5,1256.5,39,121.5,13000,4500,31-JAN-2011,
FUTSTK,BAJAJ-AUTO,28-Apr-2011,0,XX,0,0,0,1316.05,1273.9,0,0,0,0,31-JAN-2011,
FUTSTK,BAJAJHIND,24-Feb-2011,0,XX,85.2,85.2,80,82.35,82.35,1773,2939.14,10768000,308000,31-JAN-2011,
FUTSTK,BAJAJHIND,31-Mar-2011,0,XX,84.35,85,81,82.3,82.3,72,119.69,306000,62000,31-JAN-2011,
FUTSTK,BAJAJHIND,28-Apr-2011,0,XX,0,0,0,91.05,83.9,0,0,2000,0,31-JAN-2011,
FUTSTK,BAJAJHLDNG,24-Feb-2011,0,XX,735.85,735.85,715.15,730.3,730.3,39,70.95,95500,-2000,31-JAN-2011,
FUTSTK,BAJAJHLDNG,31-Mar-2011,0,XX,0,0,0,883.4,738.5,0,0,0,0,31-JAN-2011,
FUTSTK,BAJAJHLDNG,28-Apr-2011,0,XX,0,0,0,742.1,743.8,0,0,0,0,31-JAN-2011,
FUTSTK,BALRAMCHIN,24-Feb-2011,0,XX,72.9,72.9,70.1,71.2,71.2,630,1788.52,20048000,292000,31-JAN-2011,
FUTSTK,BALRAMCHIN,31-Mar-2011,0,XX,72,72,70.9,71.3,71.7,7,19.96,88000,8000,31-JAN-2011,
FUTSTK,BALRAMCHIN,28-Apr-2011,0,XX,0,0,0,76.6,72.2,0,0,0,0,31-JAN-2011,
FUTSTK,BANKBARODA,24-Feb-2011,0,XX,827.95,872.5,815.25,866.85,866.85,4007,8490.25,871250,52750,31-JAN-2011,
FUTSTK,BANKBARODA,31-Mar-2011,0,XX,847.2,867,838,861.85,861.85,39,82.79,4500,2750,31-JAN-2011,
FUTSTK,BANKBARODA,28-Apr-2011,0,XX,0,0,0,863.05,889,0,0,0,0,31-JAN-2011,
FUTSTK,BANKINDIA,24-Feb-2011,0,XX,438.85,446.95,427.95,441,441,3422,7471.58,1666500,120500,31-JAN-2011,
FUTSTK,BANKINDIA,31-Mar-2011,0,XX,432,444.35,426.05,442.55,442.55,18,39.5,13000,2000,31-JAN-2011,
FUTSTK,BANKINDIA,28-Apr-2011,0,XX,0,0,0,471.25,448.95,0,0,0,0,31-JAN-2011,
FUTSTK,BATAINDIA,24-Feb-2011,0,XX,321,327.7,311.1,318.2,318.2,227,720.3,328000,52000,31-JAN-2011,
FUTSTK,BATAINDIA,31-Mar-2011,0,XX,316.95,320,316.95,317.95,320.4,3,9.54,3000,2000,31-JAN-2011,
FUTSTK,BATAINDIA,28-Apr-2011,0,XX,0,0,0,355,322.7,0,0,0,0,31-JAN-2011,
FUTSTK,BEL,24-Feb-2011,0,XX,1650,1764.4,1639.05,1747.05,1747.05,208,444.3,66250,2000,31-JAN-2011,
FUTSTK,BEL,31-Mar-2011,0,XX,0,0,0,1722.8,1777.95,0,0,375,0,31-JAN-2011,
FUTSTK,BEL,28-Apr-2011,0,XX,0,0,0,1756.6,1790.7,0,0,0,0,31-JAN-2011,
FUTSTK,BEML,24-Feb-2011,0,XX,858.4,885,858.4,875.15,875.15,80,174.84,191250,750,31-JAN-2011,
FUTSTK,BEML,31-Mar-2011,0,XX,0,0,0,930,883.3,0,0,250,0,31-JAN-2011,
FUTSTK,BEML,28-Apr-2011,0,XX,0,0,0,926.55,889.6,0,0,0,0,31-JAN-2011,
FUTSTK,BGRENERGY,24-Feb-2011,0,XX,562.15,572.5,550.1,554.65,554.65,783,1096.39,558750,35500,31-JAN-2011,
FUTSTK,BGRENERGY,31-Mar-2011,0,XX,0,0,0,591,558.6,0,0,500,0,31-JAN-2011,
FUTSTK,BGRENERGY,28-Apr-2011,0,XX,0,0,0,630.25,562.6,0,0,0,0,31-JAN-2011,
FUTSTK,BHARATFORG,24-Feb-2011,0,XX,340.6,348.65,335.5,344.8,344.8,776,2647.43,6087000,-31000,31-JAN-2011,
FUTSTK,BHARATFORG,31-Mar-2011,0,XX,0,0,0,383.55,347.75,0,0,0,0,31-JAN-2011,
FUTSTK,BHARATFORG,28-Apr-2011,0,XX,0,0,0,352.7,350.25,0,0,0,0,31-JAN-2011,
FUTSTK,BHARTIARTL,24-Feb-2011,0,XX,322,323.75,313.1,320.15,320.15,3675,11729.22,7632000,46000,31-JAN-2011,
FUTSTK,BHARTIARTL,31-Mar-2011,0,XX,320.05,325.55,315,322.6,322.6,99,316.36,110000,39000,31-JAN-2011,
FUTSTK,BHARTIARTL,28-Apr-2011,0,XX,320,320,320,320,326.15,3,9.6,3000,3000,31-JAN-2011,
FUTSTK,BHEL,24-Feb-2011,0,XX,2125.05,2233,2118.6,2220.2,2220.2,4512,12303.51,2220250,-44250,31-JAN-2011,
FUTSTK,BHEL,31-Mar-2011,0,XX,2151.95,2236.95,2119.6,2227.7,2227.7,77,209.14,13250,5125,31-JAN-2011,
FUTSTK,BHEL,28-Apr-2011,0,XX,0,0,0,2286.05,2268.3,0,0,0,0,31-JAN-2011,
FUTSTK,BHUSANSTL,24-Feb-2011,0,XX,384.15,403.35,377.6,400.05,400.05,936,1838.7,883500,13500,31-JAN-2011,
FUTSTK,BHUSANSTL,31-Mar-2011,0,XX,389.7,399.65,389,399.3,402.9,17,33.41,22500,2500,31-JAN-2011,
FUTSTK,BHUSANSTL,28-Apr-2011,0,XX,0,0,0,405,405.75,0,0,2500,0,31-JAN-2011,
FUTSTK,BIOCON,24-Feb-2011,0,XX,340.6,353,337.15,351.3,351.3,1164,4027.41,3130000,-9000,31-JAN-2011,
FUTSTK,BIOCON,31-Mar-2011,0,XX,343.85,354.6,335.65,352.6,352.6,12,41.84,5000,-2000,31-JAN-2011,
FUTSTK,BIOCON,28-Apr-2011,0,XX,0,0,0,361.2,357.35,0,0,0,0,31-JAN-2011,
FUTSTK,BOMDYEING,24-Feb-2011,0,XX,371.35,393.7,370.2,388.95,388.95,167,318.22,485000,-4000,31-JAN-2011,
FUTSTK,BOMDYEING,31-Mar-2011,0,XX,0,0,0,432.5,393.15,0,0,1500,0,31-JAN-2011,
FUTSTK,BOMDYEING,28-Apr-2011,0,XX,0,0,0,423.65,395.95,0,0,0,0,31-JAN-2011,
FUTSTK,BOSCHLTD,24-Feb-2011,0,XX,6084.45,6084.45,5935,6002.6,6002.6,12,89.95,12125,-125,31-JAN-2011,
FUTSTK,BOSCHLTD,31-Mar-2011,0,XX,6000,6000,6000,6000,6112.55,1,7.5,250,125,31-JAN-2011,
FUTSTK,BOSCHLTD,28-Apr-2011,0,XX,0,0,0,6344.65,6156.35,0,0,0,0,31-JAN-2011,
FUTSTK,BPCL,24-Feb-2011,0,XX,615,630.9,607,616.6,616.6,2315,7154.94,1319500,-20500,31-JAN-2011,
FUTSTK,BPCL,31-Mar-2011,0,XX,617.65,632,613.1,619.6,619.6,103,320.31,56000,26000,31-JAN-2011,
FUTSTK,BPCL,28-Apr-2011,0,XX,0,0,0,651.5,626.75,0,0,0,0,31-JAN-2011,
FUTSTK,BRFL,24-Feb-2011,0,XX,239,241.5,234.3,237.7,237.7,763,1813.76,6727000,267000,31-JAN-2011,
FUTSTK,BRFL,31-Mar-2011,0,XX,242,243,236.5,236.5,238.95,4,9.63,6000,2000,31-JAN-2011,
FUTSTK,BRFL,28-Apr-2011,0,XX,0,0,0,249.3,240.65,0,0,0,0,31-JAN-2011,
FUTSTK,CAIRN,24-Feb-2011,0,XX,326.65,332.5,322.9,330,330,1125,3677.95,10287000,108000,31-JAN-2011,
FUTSTK,CAIRN,31-Mar-2011,0,XX,325,333,325,331.8,331.8,76,249.73,193000,42000,31-JAN-2011,
FUTSTK,CAIRN,28-Apr-2011,0,XX,327.45,329,327.45,329,335.95,2,6.56,2000,2000,31-JAN-2011,
FUTSTK,CANBK,24-Feb-2011,0,XX,551.35,611.25,545.2,605.2,605.2,6749,19918.76,1114500,108000,31-JAN-2011,
FUTSTK,CANBK,31-Mar-2011,0,XX,550,608.55,550,604.25,604.25,29,85.49,23500,7500,31-JAN-2011,
FUTSTK,CANBK,28-Apr-2011,0,XX,0,0,0,602.35,616.45,0,0,0,0,31-JAN-2011,
FUTSTK,CENTRALBK,24-Feb-2011,0,XX,167,175.35,165.1,173.55,173.55,1038,1786.7,2468000,51000,31-JAN-2011,
FUTSTK,CENTRALBK,31-Mar-2011,0,XX,172.15,175,172.15,174.5,174.5,7,12.15,13000,0,31-JAN-2011,
FUTSTK,CENTRALBK,28-Apr-2011,0,XX,0,0,0,177.05,176.05,0,0,0,0,31-JAN-2011,
FUTSTK,CENTURYTEX,24-Feb-2011,0,XX,330,333,319.15,331.35,331.35,1574,2580.61,4302500,-110000,31-JAN-2011,
FUTSTK,CENTURYTEX,31-Mar-2011,0,XX,325.8,333.05,325.8,333.05,333.05,6,9.82,16500,-500,31-JAN-2011,
FUTSTK,CENTURYTEX,28-Apr-2011,0,XX,0,0,0,352.1,336.55,0,0,0,0,31-JAN-2011,
FUTSTK,CESC,24-Feb-2011,0,XX,310.15,311.8,306.95,309.45,309.45,114,176.26,885000,-6000,31-JAN-2011,
FUTSTK,CESC,31-Mar-2011,0,XX,312.95,312.95,312.05,312.05,312.65,3,4.68,8500,1500,31-JAN-2011,
FUTSTK,CESC,28-Apr-2011,0,XX,0,0,0,322.25,314.85,0,0,0,0,31-JAN-2011,
FUTSTK,CHAMBLFERT,24-Feb-2011,0,XX,70.85,72.6,69.95,72.3,72.3,967,2760.98,14864000,-16000,31-JAN-2011,
FUTSTK,CHAMBLFERT,31-Mar-2011,0,XX,71.1,72.35,71.1,72.35,72.35,9,25.89,60000,4000,31-JAN-2011,
FUTSTK,CHAMBLFERT,28-Apr-2011,0,XX,0,0,0,74.65,73.5,0,0,0,0,31-JAN-2011,
FUTSTK,CHENNPETRO,24-Feb-2011,0,XX,217.4,217.4,209.9,213.65,213.65,93,198.39,331000,8000,31-JAN-2011,
FUTSTK,CHENNPETRO,31-Mar-2011,0,XX,214,214,214,214,216.4,1,2.14,2000,1000,31-JAN-2011,
FUTSTK,CHENNPETRO,28-Apr-2011,0,XX,0,0,0,229.7,217.95,0,0,0,0,31-JAN-2011,
FUTSTK,CIPLA,24-Feb-2011,0,XX,332,338.4,328.3,334.4,334.4,1280,4285.57,3580000,145000,31-JAN-2011,
FUTSTK,CIPLA,31-Mar-2011,0,XX,333.05,339.4,333.05,335.85,335.85,28,94.23,81000,25000,31-JAN-2011,
FUTSTK,CIPLA,28-Apr-2011,0,XX,0,0,0,341.2,339.6,0,0,0,0,31-JAN-2011,
FUTSTK,COLPAL,24-Feb-2011,0,XX,830.25,872,807.65,825.4,825.4,2015,4181.17,205750,110500,31-JAN-2011,
FUTSTK,COLPAL,31-Mar-2011,0,XX,865,865,835.4,835.4,836.55,5,10.63,1000,1000,31-JAN-2011,
FUTSTK,COLPAL,28-Apr-2011,0,XX,0,0,0,863.1,842.55,0,0,0,0,31-JAN-2011,
FUTSTK,CONCOR,24-Feb-2011,0,XX,1202,1202,1202,1202,1211.95,1,3,15000,0,31-JAN-2011,
FUTSTK,CONCOR,31-Mar-2011,0,XX,0,0,0,1292.9,1223.8,0,0,0,0,31-JAN-2011,
FUTSTK,CONCOR,28-Apr-2011,0,XX,0,0,0,1251.95,1232.55,0,0,0,0,31-JAN-2011,
FUTSTK,COREPROTEC,24-Feb-2011,0,XX,276.6,281,272.5,278.75,278.75,905,2500.39,2679000,160000,31-JAN-2011,
FUTSTK,COREPROTEC,31-Mar-2011,0,XX,271.85,273,266,270,281.3,8,21.58,17000,4000,31-JAN-2011,
FUTSTK,COREPROTEC,28-Apr-2011,0,XX,0,0,0,303.3,283.35,0,0,0,0,31-JAN-2011,
FUTSTK,CROMPGREAV,24-Feb-2011,0,XX,258.55,284,258.55,279.85,279.85,825,2250.95,1113000,78000,31-JAN-2011,
FUTSTK,CROMPGREAV,31-Mar-2011,0,XX,282.25,282.4,279,281.25,281.25,3,8.43,13000,2000,31-JAN-2011,
FUTSTK,CROMPGREAV,28-Apr-2011,0,XX,0,0,0,285.55,284.8,0,0,0,0,31-JAN-2011,
FUTSTK,CUMMINSIND,24-Feb-2011,0,XX,700.25,737.45,672.6,732.9,732.9,141,505.48,202500,15000,31-JAN-2011,
FUTSTK,CUMMINSIND,31-Mar-2011,0,XX,0,0,0,740,743.75,0,0,2500,0,31-JAN-2011,
FUTSTK,CUMMINSIND,28-Apr-2011,0,XX,0,0,0,747,749.1,0,0,0,0,31-JAN-2011,
FUTSTK,DABUR,24-Feb-2011,0,XX,90,95.5,88.8,94.2,94.2,954,1791.79,3192000,202000,31-JAN-2011,
FUTSTK,DABUR,31-Mar-2011,0,XX,93.45,96.25,93.45,94.9,94.9,14,26.46,30000,8000,31-JAN-2011,
FUTSTK,DABUR,28-Apr-2011,0,XX,0,0,0,97.55,95.8,0,0,0,0,31-JAN-2011,
FUTSTK,DCB,24-Feb-2011,0,XX,46.3,48.35,45.75,48.05,48.05,529,998.01,5272000,4000,31-JAN-2011,
FUTSTK,DCB,31-Mar-2011,0,XX,46.4,48.5,46.4,48.4,48.4,7,13.3,176000,12000,31-JAN-2011,
FUTSTK,DCB,28-Apr-2011,0,XX,0,0,0,50.55,48.75,0,0,0,0,31-JAN-2011,
FUTSTK,DCHL,24-Feb-2011,0,XX,88.9,93.15,86.85,92.2,92.2,383,691.62,6382000,-188000,31-JAN-2011,
FUTSTK,DCHL,31-Mar-2011,0,XX,90.45,90.45,90.05,90.05,93.6,3,5.41,4000,-2000,31-JAN-2011,
FUTSTK,DCHL,28-Apr-2011,0,XX,0,0,0,93.85,94.3,0,0,0,0,31-JAN-2011,
FUTSTK,DENABANK,24-Feb-2011,0,XX,100.5,105.75,99.6,105.2,105.2,3026,6242.44,6352000,-234000,31-JAN-2011,
FUTSTK,DENABANK,31-Mar-2011,0,XX,101.1,105.2,100.6,105.2,105.2,27,55.66,44000,-6000,31-JAN-2011,
FUTSTK,DENABANK,28-Apr-2011,0,XX,0,0,0,105.6,107.1,0,0,0,0,31-JAN-2011,
FUTSTK,DISHTV,24-Feb-2011,0,XX,57.8,60.95,56.9,59.55,59.55,1424,3389.04,11980000,-24000,31-JAN-2011,
FUTSTK,DISHTV,31-Mar-2011,0,XX,57.8,60.7,57.8,60.2,60.2,11,26.4,36000,-12000,31-JAN-2011,
FUTSTK,DISHTV,28-Apr-2011,0,XX,0,0,0,65.55,60.45,0,0,4000,0,31-JAN-2011,
FUTSTK,DIVISLAB,24-Feb-2011,0,XX,619,645,610.5,639.65,639.65,450,1423.41,771500,3500,31-JAN-2011,
FUTSTK,DIVISLAB,31-Mar-2011,0,XX,628.7,635.25,622.3,635.25,635.25,5,15.78,6000,0,31-JAN-2011,
FUTSTK,DIVISLAB,28-Apr-2011,0,XX,0,0,0,630.3,649.1,0,0,0,0,31-JAN-2011,
FUTSTK,DLF,24-Feb-2011,0,XX,218,226.2,215.6,224.8,224.8,18255,40402.4,17095000,-242000,31-JAN-2011,
FUTSTK,DLF,31-Mar-2011,0,XX,215.95,228.2,215.95,226,226,291,647.08,305000,67000,31-JAN-2011,
FUTSTK,DLF,28-Apr-2011,0,XX,220,220,220,220,228.95,1,2.2,1000,1000,31-JAN-2011,
FUTSTK,DRREDDY,24-Feb-2011,0,XX,1585.1,1629.95,1575.55,1624.4,1624.4,2291,9250.15,995250,-65500,31-JAN-2011,
FUTSTK,DRREDDY,31-Mar-2011,0,XX,1630.65,1633.85,1610.4,1632.15,1632.15,17,69.04,5750,0,31-JAN-2011,
FUTSTK,DRREDDY,28-Apr-2011,0,XX,0,0,0,1591.2,1660.7,0,0,0,0,31-JAN-2011,
FUTSTK,EDUCOMP,24-Feb-2011,0,XX,465,476.6,457.1,474.45,474.45,1599,3745.81,2888500,-45000,31-JAN-2011,
FUTSTK,EDUCOMP,31-Mar-2011,0,XX,468.65,483.8,457.2,474.05,474.05,70,164.41,49000,9000,31-JAN-2011,
FUTSTK,EDUCOMP,28-Apr-2011,0,XX,0,0,0,477.75,485.15,0,0,500,0,31-JAN-2011,
FUTSTK,EKC,24-Feb-2011,0,XX,79.45,80.6,76.55,79.85,79.85,321,507.14,5618000,86000,31-JAN-2011,
FUTSTK,EKC,31-Mar-2011,0,XX,77.9,80.65,77.85,80.65,80.25,4,6.34,24000,0,31-JAN-2011,
FUTSTK,EKC,28-Apr-2011,0,XX,0,0,0,87.45,80.85,0,0,0,0,31-JAN-2011,
FUTSTK,ESCORTS,24-Feb-2011,0,XX,135.4,136.3,130,131.2,131.2,703,933.77,2864000,227000,31-JAN-2011,
FUTSTK,ESCORTS,31-Mar-2011,0,XX,0,0,0,138.35,133.45,0,0,10000,0,31-JAN-2011,
FUTSTK,ESCORTS,28-Apr-2011,0,XX,0,0,0,146.2,134.4,0,0,0,0,31-JAN-2011,
FUTSTK,ESSAROIL,24-Feb-2011,0,XX,119.8,123.2,116.55,122.15,122.15,1331,3203.14,11348000,54000,31-JAN-2011,
FUTSTK,ESSAROIL,31-Mar-2011,0,XX,120.5,123,117.95,123,123.65,18,43.44,80000,14000,31-JAN-2011,
FUTSTK,ESSAROIL,28-Apr-2011,0,XX,0,0,0,128.25,124.55,0,0,0,0,31-JAN-2011,
FUTSTK,EXIDEIND,24-Feb-2011,0,XX,123.85,131.35,112.05,129.6,129.6,1332,3363.95,1928000,74000,31-JAN-2011,
FUTSTK,EXIDEIND,31-Mar-2011,0,XX,128,131.95,125,131.7,131.7,5,12.82,8000,4000,31-JAN-2011,
